,year,round,game,home_team,away_team,home_score,away_score,winner
2014_5_5,2014,5,5,Kung Fu Russel,JOSH GORDON'S GANJA ARMY,67.54,127.62,JOSH GORDON'S GANJA ARMY
2014_5_6,2014,5,6,Settlers of Catanzaro,Rivers of Babylon,88.06,165.08,Rivers of Babylon
2014_6_1,2014,6,1,IT'S ON LIKE NDAMUKONG,Settlers of Catanzaro,135.26,84.34,IT'S ON LIKE NDAMUKONG
2014_6_2,2014,6,2,SERPION,In The Aeroplane Over Vereen,99.44,96.32,SERPION
2014_6_3,2014,6,3,Jordy 'Shaw,Players of Fortetude,105.96,109.54,Players of Fortetude
2014_6_4,2014,6,4,The Alligators,Doug and the Staff Infections,87.52,71.5,The Alligators
2014_6_5,2014,6,5,Sanu Improved and Peytonted,Kung Fu Russel,100.08,102.52,Kung Fu Russel
2014_6_6,2014,6,6,JOSH GORDON'S GANJA ARMY,Rivers of Babylon,123.72,124.7,Rivers of Babylon
2014_7_1,2014,7,1,IT'S ON LIKE NDAMUKONG,JOSH GORDON'S GANJA ARMY,96.2,82.5,IT'S ON LIKE NDAMUKONG
2014_7_2,2014,7,2,In The Aeroplane Over Vereen,Players of Fortetude,117.52,127.94,Players of Fortetude
2014_7_3,2014,7,3,Doug and the Staff Infections,SERPION,62.46,68.62,SERPION
2014_7_4,2014,7,4,Kung Fu Russel,Jordy 'Shaw,72.52,118.6,Jordy 'Shaw
2014_7_5,2014,7,5,Settlers of Catanzaro,The Alligators,112.4,92.38,Settlers of Catanzaro
2014_7_6,2014,7,6,Rivers of Babylon,Sanu Improved and Peytonted,121.46,92.28,Rivers of Babylon
2014_8_1,2014,8,1,IT'S ON LIKE NDAMUKONG,Sanu Improved and Peytonted,116.74,132.84,Sanu Improved and Peytonted
2014_8_2,2014,8,2,Doug and the Staff Infections,In The Aeroplane Over Vereen,92.4,117.54,In The Aeroplane Over Vereen
2014_8_3,2014,8,3,Players of Fortetude,Kung Fu Russel,130.26,82.06,Players of Fortetude
2014_8_4,2014,8,4,SERPION,Settlers of Catanzaro,127.36,118.58,SERPION
2014_8_5,2014,8,5,Jordy 'Shaw,Rivers of Babylon,128.62,131.98,Rivers of Babylon
2014_8_6,2014,8,6,The Alligators,JOSH GORDON'S GANJA ARMY,124.14,96.1,The Alligators
2014_9_1,2014,9,1,IT'S ON LIKE NDAMUKONG,Jordy 'Shaw,106.94,122.96,Jordy 'Shaw
2014_9_2,2014,9,2,In The Aeroplane Over Vereen,Kung Fu Russel,76.16,68.48,In The Aeroplane Over Vereen
2014_9_3,2014,9,3,Settlers of Catanzaro,Doug and the Staff Infections,144.76,95.4,Settlers of Catanzaro
2014_9_4,2014,9,4,Rivers of Babylon,Players of Fortetude,112.12,101.12,Rivers of Babylon
2014_9_5,2014,9,5,JOSH GORDON'S GANJA ARMY,SERPION,104.66,99.56,JOSH GORDON'S GANJA ARMY
2014_9_6,2014,9,6,Sanu Improved and Peytonted,The Alligators,106.42,99.48,Sanu Improved and Peytonted
2014_10_1,2014,10,1,IT'S ON LIKE NDAMUKONG,Players of Fortetude,120.74,94.82,IT'S ON LIKE NDAMUKONG
2014_10_2,2014,10,2,Settlers of Catanzaro,In The Aeroplane Over Vereen,90.88,119.24,In The Aeroplane Over Vereen
2014_10_3,2014,10,3,Kung Fu Russel,Rivers of Babylon,67.98,148.48,Rivers of Babylon
2014_10_4,2014,10,4,Doug and the Staff Infections,JOSH GORDON'S GANJA ARMY,117.72,86.36,Doug and the Staff Infections
2014_10_5,2014,10,5,SERPION,Sanu Improved and Peytonted,103.76,102.2,SERPION
2014_10_6,2014,10,6,Jordy 'Shaw,The Alligators,138.4,98.48,Jordy 'Shaw
2014_11_1,2014,11,1,IT'S ON LIKE NDAMUKONG,Kung Fu Russel,107.62,81.32,IT'S ON LIKE NDAMUKONG
2014_11_2,2014,11,2,In The Aeroplane Over Vereen,Rivers of Babylon,118.04,71.92,In The Aeroplane Over Vereen
2014_11_3,2014,11,3,JOSH GORDON'S GANJA ARMY,Settlers of Catanzaro,89.28,117.6,Settlers of Catanzaro
2014_11_4,2014,11,4,Sanu Improved and Peytonted,Doug and the Staff Infections,86.46,81.28,Sanu Improved and Peytonted
2014_11_5,2014,11,5,The Alligators,Players of Fortetude,128.8,71.78,The Alligators
2014_11_6,2014,11,6,Jordy 'Shaw,SERPION,97.14,118.92,SERPION
2014_12_1,2014,12,1,IT'S ON LIKE NDAMUKONG,Rivers of Babylon,131.62,149.24,Rivers of Babylon
2014_12_2,2014,12,2,JOSH GORDON'S GANJA ARMY,In The Aeroplane Over Vereen,75.42,105.4,In The Aeroplane Over Vereen
2014_12_3,2014,12,3,Settlers of Catanzaro,Sanu Improved and Peytonted,111.0,123.88,Sanu Improved and Peytonted
2014_12_4,2014,12,4,Kung Fu Russel,The Alligators,72.94,87.9,The Alligators
2014_12_5,2014,12,5,Doug and the Staff Infections,Jordy 'Shaw,40.5,112.46,Jordy 'Shaw
2014_12_6,2014,12,6,Players of Fortetude,SERPION,148.96,108.62,Players of Fortetude
2014_13_1,2014,13,1,IT'S ON LIKE NDAMUKONG,In The Aeroplane Over Vereen,132.76,111.76,IT'S ON LIKE NDAMUKONG
2014_13_2,2014,13,2,Sanu Improved and Peytonted,JOSH GORDON'S GANJA ARMY,101.4,142.3,JOSH GORDON'S GANJA ARMY
2014_13_3,2014,13,3,The Alligators,Rivers of Babylon,118.88,94.2,The Alligators
2014_13_4,2014,13,4,Jordy 'Shaw,Settlers of Catanzaro,88.42,102.2,Settlers of Catanzaro
2014_13_5,2014,13,5,SERPION,Kung Fu Russel,116.54,131.84,Kung Fu Russel
2014_13_6,2014,13,6,Players of Fortetude,Doug and the Staff Infections,105.5,69.6,Players of Fortetude
2014_14_1,2014,14,1,IT'S ON LIKE NDAMUKONG,The Alligators,135.66,103.1,IT'S ON LIKE NDAMUKONG
2014_14_2,2014,14,2,Sanu Improved and Peytonted,In The Aeroplane Over Vereen,77.32,98.5,In The Aeroplane Over Vereen
2014_14_3,2014,14,3,JOSH GORDON'S GANJA ARMY,Jordy 'Shaw,109.26,128.88,Jordy 'Shaw
2014_14_4,2014,14,4,Rivers of Babylon,SERPION,73.88,164.0,SERPION
2014_14_5,2014,14,5,Settlers of Catanzaro,Players of Fortetude,137.84,65.58,Settlers of Catanzaro
