,year,round,game,home_team,away_team,home_score,away_score,winner
2021_14_8,2021,14,8,Swiftboats 4 breakdown justice,The Beer Barons,96.34,135.7,The Beer Barons
2021_15_1,2021,15,1,Standard Deviations,The Dirty Birds,106.82,104.98,Standard Deviations
2021_15_2,2021,15,2,Piggy's bushfire Carsonists,Swiftboats 4 breakdown justice,108.1,52.58,Piggy's bushfire Carsonists
2021_15_3,2021,15,3,Bearnaise Dynamics,pending,97.46,70.1,Bearnaise Dynamics
2021_15_4,2021,15,4,The Beer Barons,Too Many Cooks,103.46,63.44,The Beer Barons
2021_16_1,2021,16,1,SERPION,Swiftboats 4 breakdown justice,106.46,80.2,SERPION
2021_16_2,2021,16,2,The Dirty Birds,Kurlewless,79.8,103.94,Kurlewless
2021_16_3,2021,16,3,The Hatters,Bearnaise Dynamics,142.0,126.68,The Hatters
2021_16_4,2021,16,4,The Beer Barons,Leeannacondas,106.34,115.96,Leeannacondas
2022_1_1,2022,1,1,Standard Deviations,AT Football Team,77.3,65.32,Standard Deviations
2022_1_2,2022,1,2,Leeannacondas,The Hatters,115.4,45.68,Leeannacondas
2022_1_3,2022,1,3,The Aligators,The Beer Barons,117.02,101.66,The Aligators
2022_1_4,2022,1,4,Too Many Cooks,Bearnaise Dynamics,116.48,0.0,Too Many Cooks
2022_1_5,2022,1,5,Mikkels Manatees,The Puffins,119.78,102.86,Mikkels Manatees
2022_1_6,2022,1,6,The Piggies,The Dirty Birds,92.82,127.58,The Dirty Birds
2022_1_7,2022,1,7,SERPION,Kurlewless,89.16,68.1,SERPION
2022_1_8,2022,1,8,Fresno Fish Heads,London Tanqs,82.38,70.56,Fresno Fish Heads
2022_2_1,2022,2,1,Standard Deviations,Mikkels Manatees,64.26,116.18,Mikkels Manatees
2022_2_2,2022,2,2,Fresno Fish Heads,The Hatters,110.52,110.08,Fresno Fish Heads
2022_2_3,2022,2,3,Kurlewless,Leeannacondas,85.96,76.8,Kurlewless
2022_2_4,2022,2,4,London Tanqs,The Beer Barons,103.94,97.86,London Tanqs
2022_2_5,2022,2,5,The Aligators,SERPION,117.62,127.38,SERPION
2022_2_6,2022,2,6,Too Many Cooks,The Dirty Birds,93.9,77.24,Too Many Cooks
2022_2_7,2022,2,7,The Piggies,The Puffins,114.68,55.2,The Piggies
2022_2_8,2022,2,8,Bearnaise Dynamics,AT Football Team,156.72,101.86,Bearnaise Dynamics
2022_3_1,2022,3,1,Standard Deviations,Too Many Cooks,85.36,81.54,Standard Deviations
2022_3_2,2022,3,2,SERPION,The Hatters,65.84,103.56,The Hatters
2022_3_3,2022,3,3,Fresno Fish Heads,The Aligators,99.4,83.8,Fresno Fish Heads
2022_3_4,2022,3,4,Mikkels Manatees,The Dirty Birds,95.82,70.9,Mikkels Manatees
2022_3_5,2022,3,5,London Tanqs,Leeannacondas,96.04,120.98,Leeannacondas
2022_3_6,2022,3,6,The Beer Barons,Kurlewless,81.18,108.7,Kurlewless
2022_3_7,2022,3,7,The Puffins,AT Football Team,96.56,87.6,The Puffins
2022_3_8,2022,3,8,Bearnaise Dynamics,The Piggies,119.12,75.56,Bearnaise Dynamics
2022_4_1,2022,4,1,Standard Deviations,The Aligators,139.78,55.86,Standard Deviations
2022_4_2,2022,4,2,The Dirty Birds,The Hatters,76.56,91.36,The Hatters
2022_4_3,2022,4,3,The Piggies,Leeannacondas,107.26,94.36,The Piggies
2022_4_4,2022,4,4,AT Football Team,The Beer Barons,125.78,74.4,AT Football Team
2022_4_5,2022,4,5,Too Many Cooks,Fresno Fish Heads,86.3,131.32,Fresno Fish Heads
2022_4_6,2022,4,6,Kurlewless,The Puffins,139.54,85.98,Kurlewless
2022_4_7,2022,4,7,London Tanqs,Bearnaise Dynamics,59.1,131.36,Bearnaise Dynamics
2022_4_8,2022,4,8,Mikkels Manatees,SERPION,78.02,138.02,SERPION
2022_5_1,2022,5,1,Standard Deviations,The Hatters,105.16,109.04,The Hatters
2022_5_2,2022,5,2,The Dirty Birds,The Aligators,79.28,80.26,The Aligators
2022_5_3,2022,5,3,Too Many Cooks,SERPION,90.34,92.46,SERPION
2022_5_4,2022,5,4,Mikkels Manatees,Fresno Fish Heads,134.84,114.46,Mikkels Manatees
2022_5_5,2022,5,5,Leeannacondas,AT Football Team,126.58,110.88,Leeannacondas
2022_5_6,2022,5,6,The Beer Barons,The Piggies,124.0,64.64,The Beer Barons
2022_5_7,2022,5,7,The Puffins,London Tanqs,104.7,98.12,The Puffins
2022_5_8,2022,5,8,Bearnaise Dynamics,Kurlewless,93.76,97.58,Kurlewless
2022_6_1,2022,6,1,Standard Deviations,SERPION,73.92,89.64,SERPION
2022_6_2,2022,6,2,Too Many Cooks,The Hatters,55.12,99.3,The Hatters
2022_6_3,2022,6,3,The Puffins,Leeannacondas,123.98,94.52,The Puffins
2022_6_4,2022,6,4,Bearnaise Dynamics,The Beer Barons,85.0,75.66,Bearnaise Dynamics
2022_6_5,2022,6,5,Mikkels Manatees,The Aligators,75.7,52.9,Mikkels Manatees
2022_6_6,2022,6,6,The Dirty Birds,Fresno Fish Heads,60.06,66.86,Fresno Fish Heads
2022_6_7,2022,6,7,The Piggies,Kurlewless,70.0,87.74,Kurlewless
2022_6_8,2022,6,8,London Tanqs,AT Football Team,74.48,108.6,AT Football Team
2022_7_1,2022,7,1,Standard Deviations,Bearnaise Dynamics,119.68,80.2,Standard Deviations
2022_7_2,2022,7,2,Kurlewless,The Hatters,86.76,56.42,Kurlewless
2022_7_3,2022,7,3,Fresno Fish Heads,Leeannacondas,91.72,105.42,Leeannacondas
2022_7_4,2022,7,4,The Beer Barons,SERPION,80.44,106.38,SERPION
2022_7_5,2022,7,5,London Tanqs,The Aligators,113.5,83.96,London Tanqs
2022_7_6,2022,7,6,The Piggies,Too Many Cooks,70.2,69.0,The Piggies
2022_7_7,2022,7,7,The Puffins,The Dirty Birds,125.16,79.86,The Puffins
2022_7_8,2022,7,8,AT Football Team,Mikkels Manatees,155.54,73.64,AT Football Team
2022_8_1,2022,8,1,Standard Deviations,Fresno Fish Heads,96.14,80.62,Standard Deviations
2022_8_2,2022,8,2,Mikkels Manatees,The Hatters,66.54,106.94,The Hatters
2022_8_3,2022,8,3,Too Many Cooks,The Aligators,89.24,114.6,The Aligators
2022_8_4,2022,8,4,SERPION,The Dirty Birds,108.8,110.68,The Dirty Birds
2022_8_5,2022,8,5,Bearnaise Dynamics,Leeannacondas,132.12,101.12,Bearnaise Dynamics
2022_8_6,2022,8,6,The Beer Barons,The Puffins,117.56,117.24,The Beer Barons
2022_8_7,2022,8,7,The Piggies,London Tanqs,64.82,104.64,London Tanqs
2022_8_8,2022,8,8,AT Football Team,Kurlewless,143.88,111.38,AT Football Team
2022_9_1,2022,9,1,Standard Deviations,The Piggies,70.6,45.5,Standard Deviations
2022_9_2,2022,9,2,The Beer Barons,The Hatters,105.22,81.38,The Beer Barons
2022_9_3,2022,9,3,Leeannacondas,The Aligators,137.94,83.42,Leeannacondas
2022_9_4,2022,9,4,Too Many Cooks,The Puffins,63.0,82.5,The Puffins
2022_9_5,2022,9,5,Bearnaise Dynamics,Mikkels Manatees,96.72,86.36,Bearnaise Dynamics
2022_9_6,2022,9,6,AT Football Team,The Dirty Birds,89.64,143.2,The Dirty Birds
2022_9_7,2022,9,7,Fresno Fish Heads,Kurlewless,82.6,70.04,Fresno Fish Heads
2022_9_8,2022,9,8,SERPION,London Tanqs,110.26,36.3,SERPION
2022_10_1,2022,10,1,Standard Deviations,The Dirty Birds,0.0,0.0,Not yet played
2022_10_2,2022,10,2,The Aligators,The Hatters,0.0,0.0,Not yet played
2022_10_3,2022,10,3,The Beer Barons,Leeannacondas,0.0,2.5,Leeannacondas
2022_10_4,2022,10,4,Mikkels Manatees,Too Many Cooks,0.0,12.9,Too Many Cooks
2022_10_5,2022,10,5,The Puffins,Bearnaise Dynamics,0.0,4.8,Bearnaise Dynamics
2022_10_6,2022,10,6,AT Football Team,The Piggies,0.0,0.0,Not yet played
2022_10_7,2022,10,7,Fresno Fish Heads,SERPION,20.0,0.0,Fresno Fish Heads
2022_10_8,2022,10,8,London Tanqs,Kurlewless,0.0,0.0,Not yet played
2022_11_1,2022,11,1,Standard Deviations,The Puffins,0.0,0.0,Not yet played
2022_11_2,2022,11,2,The Piggies,The Hatters,0.0,0.0,Not yet played
2022_11_3,2022,11,3,SERPION,Leeannacondas,0.0,0.0,Not yet played
2022_11_4,2022,11,4,AT Football Team,Too Many Cooks,0.0,0.0,Not yet played
2022_11_5,2022,11,5,The Aligators,The Beer Barons,0.0,0.0,Not yet played
2022_11_6,2022,11,6,London Tanqs,Mikkels Manatees,0.0,0.0,Not yet played
2022_11_7,2022,11,7,Bearnaise Dynamics,The Dirty Birds,0.0,0.0,Not yet played
2022_11_8,2022,11,8,Kurlewless,Fresno Fish Heads,0.0,0.0,Not yet played
2022_12_1,2022,12,1,Standard Deviations,SERPION,0.0,0.0,Not yet played
2022_12_2,2022,12,2,Too Many Cooks,The Hatters,0.0,0.0,Not yet played
2022_12_3,2022,12,3,The Puffins,Leeannacondas,0.0,0.0,Not yet played
2022_12_4,2022,12,4,Bearnaise Dynamics,The Beer Barons,0.0,0.0,Not yet played
2022_12_5,2022,12,5,Mikkels Manatees,The Aligators,0.0,0.0,Not yet played
2022_12_6,2022,12,6,The Dirty Birds,Fresno Fish Heads,0.0,0.0,Not yet played
2022_12_7,2022,12,7,Kurlewless,The Piggies,0.0,0.0,Not yet played
2022_12_8,2022,12,8,London Tanqs,AT Football Team,0.0,0.0,Not yet played
2022_13_1,2022,13,1,Standard Deviations,The Aligators,0.0,0.0,Not yet played
2022_13_2,2022,13,2,The Dirty Birds,The Hatters,0.0,0.0,Not yet played
2022_13_3,2022,13,3,The Piggies,Leeannacondas,0.0,0.0,Not yet played
2022_13_4,2022,13,4,The Beer Barons,AT Football Team,0.0,0.0,Not yet played
2022_13_5,2022,13,5,Too Many Cooks,Fresno Fish Heads,0.0,0.0,Not yet played
2022_13_6,2022,13,6,Kurlewless,The Puffins,0.0,0.0,Not yet played
2022_13_7,2022,13,7,London Tanqs,Bearnaise Dynamics,0.0,0.0,Not yet played
2022_13_8,2022,13,8,Mikkels Manatees,SERPION,0.0,0.0,Not yet played
2022_14_1,2022,14,1,Standard Deviations,Mikkels Manatees,0.0,0.0,Not yet played
2022_14_2,2022,14,2,Fresno Fish Heads,The Hatters,0.0,0.0,Not yet played
2022_14_3,2022,14,3,Kurlewless,Leeannacondas,0.0,0.0,Not yet played
2022_14_4,2022,14,4,The Beer Barons,London Tanqs,0.0,0.0,Not yet played
2022_14_5,2022,14,5,SERPION,The Aligators,0.0,0.0,Not yet played
2022_14_6,2022,14,6,The Dirty Birds,Too Many Cooks,0.0,0.0,Not yet played
2022_14_7,2022,14,7,The Puffins,The Piggies,0.0,0.0,Not yet played
2022_14_8,2022,14,8,AT Football Team,Bearnaise Dynamics,0.0,0.0,Not yet played
2022_15_1,2022,15,1,Standard Deviations,Kurlewless,0.0,0.0,Not yet played
2022_15_2,2022,15,2,AT Football Team,The Beer Barons,0.0,0.0,Not yet played
2022_15_3,2022,15,3,The Hatters,The Dirty Birds,0.0,0.0,Not yet played
2022_15_4,2022,15,4,Fresno Fish Heads,Leeannacondas,0.0,0.0,Not yet played
